Entry	Entry name
P00747	PLMN_HUMAN
P00748	FA12_HUMAN
P00750	TPA_HUMAN
P00751	CFAB_HUMAN
P00803	LEP_ECOLI
P00813	ADA_HUMAN
P00846	ATP6_HUMAN
P00864	CAPP_ECOLI
P00915	CAH1_HUMAN
P00918	CAH2_HUMAN
P00926	SDHD_ECOLI
P00934	THRC_ECOLI
P00946	MANA_ECOLI
P00954	SYW_ECOLI
P00956	SYI_ECOLI
P00957	SYA_ECOLI
P00959	SYM_ECOLI
P00960	SYGA_ECOLI
P00961	SYGB_ECOLI
P00962	SYQ_ECOLI
P00963	ASNA_ECOLI
P00966	ASSY_HUMAN
P01008	ANT3_HUMAN
P01009	A1AT_HUMAN
P01011	AACT_HUMAN
P01019	ANGT_HUMAN
P01023	A2MG_HUMAN
P01024	CO3_HUMAN
P01031	CO5_HUMAN
P01034	CYTC_HUMAN
P01040	CYTA_HUMAN
P01042	KNG1_HUMAN
P01116	RASK_HUMAN
P01591	IGJ_HUMAN
P01602	KV105_HUMAN
P01619	KV320_HUMAN
P01700	LV147_HUMAN
P01730	CD4_HUMAN
P01732	CD8A_HUMAN
P01834	IGKC_HUMAN
P01857	IGHG1_HUMAN
P01859	IGHG2_HUMAN
P01860	IGHG3_HUMAN
P01861	IGHG4_HUMAN
P01871	IGHM_HUMAN
P01876	IGHA1_HUMAN
P01877	IGHA2_HUMAN
P01880	IGHD_HUMAN
P01889	HLAB_HUMAN
P01893	HLAH_HUMAN
P01903	DRA_HUMAN
P01909	DQA1_HUMAN
P01911	DRB1_HUMAN
P01920	DQB1_HUMAN
P02042	HBD_HUMAN
P02358	RS6_ECOLI
P02359	RS7_ECOLI
P02413	RL15_ECOLI
P02452	CO1A1_HUMAN
P02461	CO3A1_HUMAN
P02462	CO4A1_HUMAN
P02511	CRYAB_HUMAN
P02545	LMNA_HUMAN
P02549	SPTA1_HUMAN
P02585	TNNC2_HUMAN
P02647	APOA1_HUMAN
P02649	APOE_HUMAN
P02652	APOA2_HUMAN
P02654	APOC1_HUMAN
P02655	APOC2_HUMAN
P02656	APOC3_HUMAN
P02671	FIBA_HUMAN
P02675	FIBB_HUMAN
P02679	FIBG_HUMAN
P02730	B3AT_HUMAN
P02743	SAMP_HUMAN
P02745	C1QA_HUMAN
P02746	C1QB_HUMAN
P02747	C1QC_HUMAN
P02748	CO9_HUMAN
P02749	APOH_HUMAN
P02750	A2GL_HUMAN
P02751	FINC_HUMAN
P02753	RET4_HUMAN
P02760	AMBP_HUMAN
P02763	A1AG1_HUMAN
P02765	FETUA_HUMAN
P02766	TTHY_HUMAN
P02774	VTDB_HUMAN
P02786	TFR1_HUMAN
P02787	TRFE_HUMAN
P02788	TRFL_HUMAN
P02790	HEMO_HUMAN
P02792	FRIL_HUMAN
P02794	FRIH_HUMAN
P02918	PBPA_ECOLI
P02919	PBPB_ECOLI
P02925	RBSB_ECOLI
P02930	TOLC_ECOLI
P02931	OMPF_ECOLI
P02943	LAMB_ECOLI
P03004	DNAA_ECOLI
P03817	MIOC_ECOLI
P03841	MALM_ECOLI
P03886	NU1M_HUMAN
P03891	NU2M_HUMAN
P03905	NU4M_HUMAN
P03915	NU5M_HUMAN
P03950	ANGI_HUMAN
P04003	C4BPA_HUMAN
P04004	VTNC_HUMAN
P04036	DAPB_ECOLI
P04040	CATA_HUMAN
P04066	FUCO_HUMAN
P04075	ALDOA_HUMAN
P04079	GUAA_ECOLI
P04080	CYTB_HUMAN
P04083	ANXA1_HUMAN
P04114	APOB_HUMAN
P04150	GCR_HUMAN
P04156	PRIO_HUMAN
P04179	SODM_HUMAN
P04181	OAT_HUMAN
P04196	HRG_HUMAN
P04216	THY1_HUMAN
P04217	A1BG_HUMAN
P04233	HG2A_HUMAN
P04234	CD3D_HUMAN
P04259	K2C6B_HUMAN
P04264	K2C1_HUMAN
P04271	S100B_HUMAN
P04275	VWF_HUMAN
P04350	TBB4A_HUMAN
P04406	G3P_HUMAN
P04424	ARLY_HUMAN
P04425	GSHB_ECOLI
P04439	HLAA_HUMAN
P04440	DPB1_HUMAN
P04632	CPNS1_HUMAN
P04693	TYRB_ECOLI
P04792	HSPB1_HUMAN
P04805	SYE_ECOLI
P04825	AMPN_ECOLI
P04839	CY24B_HUMAN
P04843	RPN1_HUMAN
P04844	RPN2_HUMAN
P04899	GNAI2_HUMAN
P04920	B3A2_HUMAN
P04921	GLPC_HUMAN
P04951	KDSB_ECOLI
P04982	RBSD_ECOLI
P04983	RBSA_ECOLI
P05020	PYRC_ECOLI
P05023	AT1A1_HUMAN
P05055	PNP_ECOLI
P05090	APOD_HUMAN
P05091	ALDH2_HUMAN
P05107	ITB2_HUMAN
P05109	S10A8_HUMAN
P05114	HMGN1_HUMAN
P05141	ADT2_HUMAN
P05154	IPSP_HUMAN
P05155	IC1_HUMAN
P05156	CFAI_HUMAN
P05161	ISG15_HUMAN
P05164	PERM_HUMAN
P05165	PCCA_HUMAN
P05166	PCCB_HUMAN
P05186	PPBT_HUMAN
P05198	IF2A_HUMAN
P05204	HMGN2_HUMAN
P05362	ICAM1_HUMAN
P05386	RLA1_HUMAN
P05387	RLA2_HUMAN
P05388	RLA0_HUMAN
P05413	FABPH_HUMAN
P05452	TETN_HUMAN
P05455	LA_HUMAN
P05459	PDXB_ECOLI
P05546	HEP2_HUMAN
P05556	ITB1_HUMAN
P05706	PTHA_ECOLI
P05707	SRLD_ECOLI
P05771	KPCB_HUMAN
P05783	K1C18_HUMAN
P05825	FEPA_ECOLI
P05852	TSAD_ECOLI
P05976	MYL1_HUMAN
P05997	CO5A2_HUMAN
P06127	CD5_HUMAN
P06129	BTUB_ECOLI
P06132	DCUP_HUMAN
P06239	LCK_HUMAN
P06241	FYN_HUMAN
P06312	KV401_HUMAN
P06340	DOA_HUMAN
P06396	GELS_HUMAN
P06400	RB_HUMAN
P06454	PTMA_HUMAN
P06576	ATPB_HUMAN
P06612	TOP1_ECOLI
P06681	CO2_HUMAN
P06702	S10A9_HUMAN
P06703	S10A6_HUMAN
P06715	GSHR_ECOLI
P06720	AGAL_ECOLI
P06727	APOA4_HUMAN
P06729	CD2_HUMAN
P06730	IF4E_HUMAN
P06733	ENOA_HUMAN
P06734	FCER2_HUMAN
P06737	PYGL_HUMAN
P06744	G6PI_HUMAN
P06748	NPM_HUMAN
P06753	TPM3_HUMAN
P06756	ITAV_HUMAN
P06865	HEXA_HUMAN
P06959	ODP2_ECOLI
P06968	DUT_ECOLI
P06992	RSMA_ECOLI
P06996	OMPC_ECOLI
P07001	PNTA_ECOLI
P07004	PROA_ECOLI
P07012	RF2_ECOLI
P07014	SDHB_ECOLI
P07099	HYEP_HUMAN
P07108	ACBP_HUMAN
P07118	SYV_ECOLI
P07195	LDHB_HUMAN
P07199	CENPB_HUMAN
P07203	GPX1_HUMAN
P07205	PGK2_HUMAN
P07237	PDIA1_HUMAN
P07305	H10_HUMAN
P07311	ACYP1_HUMAN
P07333	CSF1R_HUMAN
P07339	CATD_HUMAN
P07355	ANXA2_HUMAN
P07357	CO8A_HUMAN
P07358	CO8B_HUMAN
P07360	CO8G_HUMAN
P07384	CAN1_HUMAN
P07395	SYFB_ECOLI
P07437	TBB5_HUMAN
P07585	PGS2_HUMAN
P07602	SAP_HUMAN
P07604	TYRR_ECOLI
P07650	TYPH_ECOLI
P07686	HEXB_HUMAN
P07737	PROF1_HUMAN
P07738	PMGE_HUMAN
P07741	APT_HUMAN
P07766	CD3E_HUMAN
P07813	SYL_ECOLI
P07814	SYEP_HUMAN
P07858	CATB_HUMAN
P07900	HS90A_HUMAN
P07902	GALT_HUMAN
P07910	HNRPC_HUMAN
P07913	TDH_ECOLI
P07919	QCR6_HUMAN
P07942	LAMB1_HUMAN
P07948	LYN_HUMAN
P07954	FUMH_HUMAN
P07996	TSP1_HUMAN
P08047	SP1_HUMAN
P08123	CO1A2_HUMAN
P08133	ANXA6_HUMAN
P08194	GLPT_ECOLI
P08195	4F2_HUMAN
P08200	IDH_ECOLI
P08201	NIRB_ECOLI
P08236	BGLR_HUMAN
P08237	PFKAM_HUMAN
P08238	HS90B_HUMAN
P08240	SRPRA_HUMAN
P08244	PYRF_ECOLI
P08246	ELNE_HUMAN
P08294	SODE_HUMAN
P08311	CATG_HUMAN
P08312	SYFA_ECOLI
P08390	USG_ECOLI
P08397	HEM3_HUMAN
P08493	MGP_HUMAN
P08559	ODPA_HUMAN
P08567	PLEK_HUMAN
P08571	CD14_HUMAN
P08572	CO4A2_HUMAN
P08574	CY1_HUMAN
P08575	PTPRC_HUMAN
P08579	RU2B_HUMAN
P08603	CFAH_HUMAN
P08621	RU17_HUMAN
P08622	DNAJ_ECOLI
P08631	HCK_HUMAN
P08637	FCG3A_HUMAN
P08670	VIME_HUMAN
P08697	A2AP_HUMAN
P08708	RS17_HUMAN
P08754	GNAI3_HUMAN
P08758	ANXA5_HUMAN
P08839	PT1_ECOLI
P08865	RSSA_HUMAN
P08962	CD63_HUMAN
P08997	MASY_ECOLI
P09012	SNRPA_HUMAN
P09104	ENOG_HUMAN
P09110	THIK_HUMAN
P09127	HEMX_ECOLI
P09147	GALE_ECOLI
P09148	GAL7_ECOLI
P09158	SPEE_ECOLI
P09169	OMPT_ECOLI
P09211	GSTP1_HUMAN
P09234	RU1C_HUMAN
P09323	PTW3C_ECOLI
